Model	Bond deviation	Likelihoods
1	1.4923608	483.827
2	3.897038	423.22534
3	3.086545	545.9349
4	0.73965216	555.7245
5	3.8590393	513.22986
6	4.7131443	637.5554
7	0.10037637	623.4857
8	6.9963427	497.48773
9	2.6927748	573.5613
10	0.543314	477.7304
11	1.4546101	699.2471
12	1.0291092	514.78375
13	2.0679138	451.1659
14	1.784502	431.66992
15	2.6358576	436.9418
16	3.9031787	412.46246
17	0.07810199	403.30542
18	7.9200554	422.99646
19	1.5326521	424.84583
20	4.663	461.46313
21	1.3318853	513.95825
22	3.4220033	510.92365
23	3.24229	420.09714
24	2.251688	483.32556
25	0.63121676	501.5714
