Model	Bond deviation	Likelihoods
1	0.6097573	1156.8962
2	1.3107427	1283.3768
3	0.056987762	1187.5662
4	2.1623993	1117.0638
5	1.2570544	1280.9414
6	1.1414214	1217.227
7	1.0440365	1260.239
8	0.25392056	1251.1377
9	0.84768593	955.035
10	0.3861785	1369.8042
11	1.3082	1183.6171
12	0.3825611	1270.5856
13	0.7233163	1039.3359
14	1.10932	1168.0441
15	4.6037292	1076.0
16	1.0892466	1051.7239
17	0.32865632	1322.2463
18	1.5860649	1194.7216
19	0.50857353	1052.6154
20	0.13729084	1308.1007
21	2.2153502	1019.2346
22	0.550369	1116.332
23	0.051442742	1081.492
24	0.30188942	1108.7842
25	2.603261	1001.28876
