Model	Energy (KJ/mol)
1	-1423.8843
2	-955.0074
3	-1367.2643
4	-761.1022
5	-720.09534
6	-1025.6737
7	-1023.30914
8	-1125.9
9	483.40887
10	-899.3109
11	-1283.7717
12	-1338.2719
13	510.8614
14	-1475.0133
15	-84.35513
16	521.4664
17	-1379.9268
18	-1172.6511
19	-1352.096
20	-1174.8589
21	-977.84045
22	4798.506
23	-1247.9608
24	-397.8692
25	-865.4011
26	-685.02905
27	-432.27554
28	-1670.4034
29	-1221.8624
30	-1036.9563
31	-1397.3179
32	-941.45215
33	17890.084
34	326.9696
35	125.59721
36	-866.7956
37	-1210.9089
38	-1627.6276
39	-678.2836
40	-1505.1846
41	-1458.1346
42	1037348800.0
43	830.47815
44	-1444.1459
45	-1166.2778
46	-1394.3615
47	-526.9839
48	-1326.6554
49	6551.451
50	9709.681
51	-1617.6176
52	-98.8101
53	-486.57156
54	-956.3698
55	-761.01953
56	-704.4244
57	-1404.3301
58	-1274.5999
59	-676.0593
60	-1397.5183
61	305004.47
62	-1642.3112
63	-1586.0789
64	-1121.118
65	-1169.7682
66	-604.1301
67	-1072.9858
68	-661.5725
69	-1239.2805
70	-833.4225
71	-1556.157
72	-671.14685
73	2397355800.0
74	-1341.2786
75	-142.47163
76	-1477.7544
77	105.76124
78	-1227.1024
79	434.04053
80	-1082.8619
81	-317.04163
82	250.20143
83	-1297.779
84	16018.862
85	189.63924
86	-1519.7605
87	-1055.6462
88	-1685.4539
89	-1206.1218
90	-597.1576
91	-1571.5483
92	-904.8055
93	-1425.2177
94	-1124.7738
95	2299537.5
96	-917.8226
97	-1140.2002
98	10101595000.0
99	-1214.9847
100	-616.6733
